id,tau_phi,tau_mod
pre,2.606,3.113
pre,2.599,3.113
pre,2.622,3.111
pre,2.691,3.074
pre,2.693,3.049
pre,2.664,3.056
pre,2.648,3.087
pre,2.619,3.063
pre,2.566,3.059
pre,2.55,3.039
pre,2.54,3.035
pre,2.521,3.002
pre,2.55,2.996
pre,2.563,3.002
pre,2.599,3.047
pre,2.633,3.033
pre,2.648,3.037
pre,2.642,3.047
pre,2.656,3.091
pre,2.631,3.081
pre,2.601,3.107
mid,2.925,3.366
mid,2.875,3.339
mid,2.823,3.302
mid,2.819,3.289
mid,2.87,3.34
mid,2.917,3.384
mid,2.969,3.387
mid,3.018,3.388
mid,3.043,3.395
mid,3.041,3.388
mid,3.039,3.368
mid,2.954,3.363
mid,2.861,3.369
mid,2.833,3.358
mid,2.785,3.312
mid,2.747,3.276
mid,2.789,3.282
mid,2.86,3.282
mid,2.875,3.311
mid,2.89,3.37
mid,2.939,3.404
post,2.188,2.728
post,2.19,2.747
post,2.165,2.754
post,2.163,2.775
post,2.206,2.818
post,2.198,2.85
post,2.196,2.856
post,2.223,2.836
post,2.248,2.812
post,2.229,2.789
post,2.217,2.748
post,2.203,2.739
post,2.159,2.747
post,2.148,2.753
post,2.158,2.725
post,2.188,2.675
post,2.203,2.634
post,2.248,2.622
post,2.245,2.575
post,2.238,2.568
post,2.231,2.629
pre,2.593,3.126
pre,2.601,3.135
pre,2.64,3.12
pre,2.677,3.077
pre,2.663,3.065
pre,2.623,3.077
